geology,rows
ANCC,294268
EGFDL,205397
ASTNL,172223
BUDA,140640
ASTNU,118025
EGFDU,70013
OLMOS,23345
MNSS,5026
UPSN,2731
LBHL,1625
LTHL,1137
LTGT,981
Clay Rich Interval,868
AC_UEF_BHL,840
AC_UEF_TRGT,840
AC_UEF_THL,840
UTGT,760
UTHL,589
UEGFD THL,570
UEGFD TGT,570
LL_BHL,444
UEGFD BHL,323
LL_THL,276
UL_THL,258
UL_TGT,216
UBHL,190
LL_TGT,144
UL_BHL,120
LLEF BHL,69
LLEF THL,36
ULEF TGT,35
EGFD400,34
LL THL,30
LLEF TGT,26
EGFD300,23
EGFD300c,18
ULEF THL,16
LL TGT,10
EGFD100,8
EGFD_IPT,2
EGFD300b,2
ULEF BHL,2
EGFD200,1
